Timestamp,Resistance (Ohms),Force (g)
1686271994.3805408,inf,0.0
1686271994.381879,inf,0.0
1686271994.382493,inf,0.0
1686271994.3829582,inf,0.0
1686271994.383519,inf,0.0
1686271994.38397,inf,0.0
1686271994.384363,inf,0.0
1686271994.3847308,inf,0.0
1686271994.385232,inf,0.0
1686271994.385716,inf,0.0
1686271994.386084,inf,0.0
1686271994.38638,inf,0.0
1686271994.386679,inf,0.0
1686271994.386945,inf,0.0
1686271994.387208,inf,0.0
1686271994.387562,inf,0.0
1686271994.387861,inf,0.0
1686271994.388142,inf,0.0
1686271994.388484,inf,0.0
1686271994.388778,inf,0.0
1686271994.389071,inf,0.0
1686271994.389338,inf,0.0
1686271994.389594,inf,0.0
1686271994.389844,inf,0.0
1686271994.390095,inf,0.0
1686271994.390346,inf,0.0
1686271994.404657,inf,0.0
1686271994.425091,inf,0.0
1686271994.44556,inf,0.0
1686271994.4659882,inf,0.0
1686271994.486445,inf,0.0
1686271994.506992,inf,0.0
1686271994.527446,inf,0.0
1686271994.547882,inf,0.0
1686271994.5683048,inf,0.0
1686271994.5890272,inf,0.0
1686271994.609411,inf,0.0
1686271994.6297631,inf,0.0
1686271994.650302,inf,0.0
1686271994.67071,inf,0.0
1686271994.691367,inf,0.0
1686271994.7118871,inf,0.0
1686271994.732194,inf,0.0
1686271994.752682,inf,0.0
1686271994.773327,inf,0.0
1686271994.7935848,inf,0.0
1686271994.810011,inf,0.0
1686271994.830536,inf,0.0
1686271994.851008,inf,0.0
1686271994.871522,inf,0.0
1686271994.8920162,inf,0.0
1686271994.9124212,inf,0.0
1686271994.932906,inf,0.0
1686271994.953467,inf,0.0
1686271994.974048,inf,0.0
1686271994.994349,inf,0.0
1686271995.0148091,inf,0.0
1686271995.035444,inf,0.0
1686271995.055798,inf,0.0
1686271995.076322,inf,0.0
1686271995.096839,inf,0.0
1686271995.117266,inf,0.0
1686271995.1376781,inf,0.0
1686271995.1582122,inf,0.0
1686271995.178614,inf,0.0
1686271995.1992378,inf,0.0
1686271995.219678,inf,0.0
1686271995.240085,inf,0.0
1686271995.260548,inf,0.0
1686271995.281041,inf,0.0
1686271995.301547,inf,0.0
1686271995.3219688,inf,0.0
1686271995.342498,inf,0.0
1686271995.362925,inf,0.0
1686271995.383508,inf,0.0
1686271995.4038742,inf,0.0
1686271995.4244978,inf,0.0
1686271995.444822,inf,0.0
1686271995.4655528,inf,0.0
1686271995.4858098,inf,0.0
1686271995.506519,inf,0.0
1686271995.526792,inf,0.0
1686271995.547321,inf,0.0
1686271995.567668,inf,0.0
1686271995.588414,inf,0.0
1686271995.6088378,inf,0.0
1686271995.6293728,inf,0.0
1686271995.649699,inf,0.0
1686271995.670135,inf,0.0
1686271995.690571,inf,0.0
1686271995.71104,inf,0.0
1686271995.7315788,inf,0.0
1686271995.751999,inf,0.0
1686271995.772628,inf,0.0
1686271995.792952,inf,0.0
1686271995.813468,inf,0.0
1686271995.82988,inf,0.0
1686271995.8505201,inf,0.0
1686271995.870837,inf,0.0
1686271995.891337,inf,0.0
1686271995.9118578,inf,0.0
1686271995.932357,inf,0.0
1686271995.9528189,inf,0.0
1686271995.973414,inf,0.0
1686271995.993734,inf,0.0
1686271996.014186,inf,0.0
1686271996.034803,inf,0.0
1686271996.055142,inf,0.0
1686271996.0756521,inf,0.0
1686271996.096062,inf,0.0
1686271996.1165462,inf,0.0
1686271996.1371179,inf,0.0
1686271996.157557,inf,0.0
1686271996.178036,inf,0.0
1686271996.198726,inf,0.0
1686271996.218952,inf,0.0
1686271996.239726,inf,0.0
1686271996.259949,inf,0.0
1686271996.280663,inf,0.0
1686271996.300823,inf,0.0
1686271996.321551,inf,0.0
1686271996.3420002,inf,0.0
1686271996.362422,inf,0.0
1686271996.38298,inf,0.0
1686271996.403409,inf,0.0
1686271996.42374,inf,0.0
1686271996.4442408,inf,0.0
1686271996.4648478,inf,0.0
1686271996.485184,inf,0.0
1686271996.505692,inf,0.0
1686271996.526082,inf,0.0
1686271996.546714,inf,0.0
1686271996.567156,inf,0.0
1686271996.5876238,inf,0.0
1686271996.6080441,inf,0.0
1686271996.628533,inf,0.0
1686271996.6489978,inf,0.0
1686271996.6695812,inf,0.0
1686271996.690054,inf,0.0
1686271996.7103941,inf,0.0
1686271996.731151,inf,0.0
1686271996.751355,inf,0.0
1686271996.771874,inf,0.0
1686271996.792534,inf,0.0
1686271996.812911,inf,0.0
1686271996.83333,inf,0.0
1686271996.853821,inf,0.0
1686271996.870386,inf,0.0
1686271996.890774,inf,0.0
1686271996.91126,inf,0.0
1686271996.931804,inf,0.0
1686271996.95209,inf,0.0
1686271996.97262,inf,0.0
1686271996.993037,inf,0.0
1686271997.0135639,inf,0.0
1686271997.0341918,inf,0.0
1686271997.054604,inf,0.0
1686271997.0752351,inf,0.0
1686271997.0956302,inf,0.0
1686271997.116192,inf,0.0
1686271997.136638,inf,0.0
1686271997.157092,inf,0.0
1686271997.1774132,inf,0.0
1686271997.1978822,inf,0.0
1686271997.218295,inf,0.0
1686271997.2390451,inf,0.0
1686271997.259413,inf,0.0
1686271997.279774,inf,0.0
1686271997.300506,inf,0.0
1686271997.320735,inf,0.0
1686271997.341414,inf,0.0
1686271997.361669,inf,0.0
1686271997.382424,inf,0.0
1686271997.4026299,inf,0.0
1686271997.423182,inf,0.0
1686271997.443671,inf,0.0
1686271997.464257,inf,0.0
1686271997.48457,inf,0.0
1686271997.5050318,inf,0.0
1686271997.525791,inf,0.0
