Timestamp,Resistance (Ohms),Force (g)
1686272044.269613,inf,0.0
1686272044.2698822,inf,0.0
1686272044.270129,inf,0.0
1686272044.2704,inf,0.0
1686272044.2705972,inf,0.0
1686272044.27104,inf,0.0
1686272044.271323,inf,0.0
1686272044.2715268,inf,0.0
1686272044.271701,inf,0.0
1686272044.27186,inf,0.0
1686272044.2720158,inf,0.0
1686272044.272208,inf,0.0
1686272044.272375,inf,0.0
1686272044.272528,inf,0.0
1686272044.272686,inf,0.0
1686272044.2728488,inf,0.0
1686272044.2729979,inf,0.0
1686272044.273161,inf,0.0
1686272044.273354,inf,0.0
1686272044.273516,inf,0.0
1686272044.273678,inf,0.0
1686272044.273828,inf,0.0
1686272044.273963,inf,0.0
1686272044.274127,inf,0.0
1686272044.274292,inf,0.0
1686272044.279404,inf,0.0
1686272044.299923,inf,0.0
1686272044.320447,inf,0.0
1686272044.340862,inf,0.0
1686272044.361411,inf,0.0
1686272044.381827,inf,0.0
1686272044.402272,inf,0.0
1686272044.4230132,inf,0.0
1686272044.443247,inf,0.0
1686272044.463827,inf,0.0
1686272044.484231,inf,0.0
1686272044.504734,inf,0.0
1686272044.525171,inf,0.0
1686272044.545673,inf,0.0
1686272044.5661561,inf,0.0
1686272044.586637,inf,0.0
1686272044.6071029,inf,0.0
1686272044.627624,inf,0.0
1686272044.648065,inf,0.0
1686272044.6685472,inf,0.0
1686272044.689097,inf,0.0
1686272044.709418,inf,0.0
1686272044.7300181,inf,0.0
1686272044.7504818,inf,0.0
1686272044.7709389,inf,0.0
1686272044.792277,inf,0.0
1686272044.811869,inf,0.0
1686272044.832366,inf,0.0
1686272044.8528588,inf,0.0
1686272044.873326,inf,0.0
1686272044.8937678,inf,0.0
1686272044.9142468,inf,0.0
1686272044.934752,inf,0.0
1686272044.95531,inf,0.0
1686272044.975689,inf,0.0
1686272044.99617,inf,0.0
1686272045.016788,inf,0.0
1686272045.0372329,inf,0.0
1686272045.0575738,inf,0.0
1686272045.07807,inf,0.0
1686272045.098581,inf,0.0
1686272045.1190941,inf,0.0
1686272045.1396182,inf,0.0
1686272045.1602309,inf,0.0
1686272045.180514,inf,0.0
1686272045.2010188,inf,0.0
1686272045.221418,inf,0.0
1686272045.241846,inf,0.0
1686272045.2583308,inf,0.0
1686272045.278794,inf,0.0
1686272045.299205,inf,0.0
1686272045.3199282,inf,0.0
1686272045.340283,inf,0.0
1686272045.3606882,inf,0.0
1686272045.381216,inf,0.0
1686272045.401654,inf,0.0
1686272045.4221802,inf,0.0
1686272045.442631,inf,0.0
1686272045.46313,inf,0.0
1686272045.483613,inf,0.0
1686272045.504101,inf,0.0
1686272045.525225,inf,0.0
1686272045.545036,inf,0.0
1686272045.565514,inf,0.0
1686272045.5860438,inf,0.0
1686272045.606744,inf,0.0
1686272045.626946,inf,0.0
1686272045.6473799,inf,0.0
1686272045.667882,inf,0.0
1686272045.6884449,inf,0.0
1686272045.708891,inf,0.0
1686272045.729326,inf,0.0
1686272045.7498162,inf,0.0
1686272045.770339,inf,0.0
1686272045.790773,inf,0.0
1686272045.811316,inf,0.0
1686272045.831702,inf,0.0
1686272045.8521888,inf,0.0
1686272045.872683,inf,0.0
1686272045.893151,inf,0.0
1686272045.91362,inf,0.0
1686272045.934093,inf,0.0
1686272045.9545758,inf,0.0
1686272045.9750772,inf,0.0
1686272045.9955359,inf,0.0
1686272046.01669,inf,0.0
1686272046.0365,inf,0.0
1686272046.05703,inf,0.0
1686272046.077413,inf,0.0
1686272046.097899,inf,0.0
1686272046.1184719,inf,0.0
1686272046.1388621,inf,0.0
1686272046.1593568,inf,0.0
1686272046.179837,inf,0.0
1686272046.200346,inf,0.0
1686272046.220821,inf,0.0
1686272046.2412748,inf,0.0
1686272046.26179,inf,0.0
1686272046.278173,inf,0.0
1686272046.298622,inf,0.0
1686272046.319204,inf,0.0
1686272046.339653,inf,0.0
1686272046.360072,inf,0.0
1686272046.3806028,inf,0.0
